,line_id,tag_type,country,length,voltage,circuits,tag_frequency,bus0,bus1,underground,under_construction,dc,geometry,bounds,bus_0_coors,bus_1_coors,bus0_lon,bus0_lat,bus1_lon,bus1_lat
26,-646530031_0,line,BO,159795.6465896894,230000,3.0,50.0,9,24,False,False,False,"LINESTRING (-65.7545 -21.4259, -65.755479 -21.42692, -67.156044 -21.133749, -67.155 -21.1327)","MULTIPOINT ((-65.7545 -21.4259), (-67.155 -21.1327))",POINT (-65.7545 -21.4259),POINT (-67.155 -21.1327),-65.7545,-21.4259,-67.155,-21.1327
27,1907994245_0,line,BO,20447.261558914553,230000,3.0,50.0,11,4,False,False,False,"LINESTRING (-66.1158 -17.4272, -66.11722 -17.428451, -66.220564 -17.573273, -66.2204 -17.5733)","MULTIPOINT ((-66.1158 -17.4272), (-66.2204 -17.5733))",POINT (-66.1158 -17.4272),POINT (-66.2204 -17.5733),-66.1158,-17.4272,-66.2204,-17.5733
28,-1382799058_0,line,BO,39485.895806167784,230000,3.0,50.0,43,3,False,False,False,"LINESTRING (-65.4427 -17.0098, -65.442684 -17.009819, -65.750613 -17.178102, -65.7496 -17.1771)","MULTIPOINT ((-65.4427 -17.0098), (-65.7496 -17.1771))",POINT (-65.4427 -17.0098),POINT (-65.7496 -17.1771),-65.4427,-17.0098,-65.7496,-17.1771
29,-1359706950_0,line,BO,15957.912288760252,230000,3.0,50.0,44,33,False,False,False,"LINESTRING (-63.1458 -17.5337, -63.145837 -17.533684, -63.282402 -17.575242, -63.2824 -17.5752)","MULTIPOINT ((-63.1458 -17.5337), (-63.2824 -17.5752))",POINT (-63.1458 -17.5337),POINT (-63.2824 -17.5752),-63.1458,-17.5337,-63.2824,-17.5752
30,1487666159_0,line,BO,15957.912288760252,230000,3.0,50.0,44,33,False,False,False,"LINESTRING (-63.1458 -17.5337, -63.145837 -17.533684, -63.282402 -17.575242, -63.2824 -17.5752)","MULTIPOINT ((-63.1458 -17.5337), (-63.2824 -17.5752))",POINT (-63.1458 -17.5337),POINT (-63.2824 -17.5752),-63.1458,-17.5337,-63.2824,-17.5752
31,531108144_0,line,BO,46834.94644293406,230000,3.0,50.0,44,42,False,False,False,"LINESTRING (-63.1458 -17.5337, -63.145837 -17.533684, -62.85447 -17.822856, -62.8545 -17.8229)","MULTIPOINT ((-63.1458 -17.5337), (-62.8545 -17.8229))",POINT (-63.1458 -17.5337),POINT (-62.8545 -17.8229),-63.1458,-17.5337,-62.8545,-17.8229
32,1680295840_0,line,BO,46834.94644293406,230000,3.0,50.0,44,42,False,False,False,"LINESTRING (-63.1458 -17.5337, -63.145837 -17.533684, -62.85447 -17.822856, -62.8545 -17.8229)","MULTIPOINT ((-63.1458 -17.5337), (-62.8545 -17.8229))",POINT (-63.1458 -17.5337),POINT (-62.8545 -17.8229),-63.1458,-17.5337,-62.8545,-17.8229
33,-818481380_0,line,BO,26413.257879951998,230000,3.0,50.0,44,80,False,False,False,"LINESTRING (-63.1458 -17.5337, -63.145837 -17.533684, -63.236644 -17.742589, -63.2366 -17.7426)","MULTIPOINT ((-63.1458 -17.5337), (-63.2366 -17.7426))",POINT (-63.1458 -17.5337),POINT (-63.2366 -17.7426),-63.1458,-17.5337,-63.2366,-17.7426
34,-1617796573_0,line,BO,66453.8157437269,230000,3.0,50.0,39,46,False,False,False,"LINESTRING (-65.2102 -21.1591, -65.210247 -21.159084, -64.727985 -21.486837, -64.727 -21.4858)","MULTIPOINT ((-65.2102 -21.1591), (-64.727 -21.4858))",POINT (-65.2102 -21.1591),POINT (-64.727 -21.4858),-65.2102,-21.1591,-64.727,-21.4858
35,2099635059_0,line,BO,29617.054027704613,230000,3.0,50.0,41,30,False,False,False,"LINESTRING (-67.9237 -16.5746, -67.923726 -16.574612, -68.118223 -16.400539, -68.1172 -16.3995)","MULTIPOINT ((-67.9237 -16.5746), (-68.1172 -16.3995))",POINT (-67.9237 -16.5746),POINT (-68.1172 -16.3995),-67.9237,-16.5746,-68.1172,-16.3995
36,-1953944760_0,line,BO,167610.45625723508,230000,3.0,50.0,13,39,False,False,False,"LINESTRING (-66.14 -20.0503, -66.14098 -20.051275, -65.210247 -21.159084, -65.2102 -21.1591)","MULTIPOINT ((-66.14 -20.0503), (-65.2102 -21.1591))",POINT (-66.14 -20.0503),POINT (-65.2102 -21.1591),-66.14,-20.0503,-65.2102,-21.1591
37,1007144354_0,line,BO,222421.8425218809,230000,3.0,50.0,4,41,False,False,False,"LINESTRING (-66.2204 -17.5733, -66.220564 -17.573273, -67.923726 -16.574612, -67.9237 -16.5746)","MULTIPOINT ((-66.2204 -17.5733), (-67.9237 -16.5746))",POINT (-66.2204 -17.5733),POINT (-67.9237 -16.5746),-66.2204,-17.5733,-67.9237,-16.5746
38,2009226556_0,line,BO,222421.8425218809,230000,3.0,50.0,4,41,False,False,False,"LINESTRING (-66.2204 -17.5733, -66.220564 -17.573273, -67.923726 -16.574612, -67.9237 -16.5746)","MULTIPOINT ((-66.2204 -17.5733), (-67.9237 -16.5746))",POINT (-66.2204 -17.5733),POINT (-67.9237 -16.5746),-66.2204,-17.5733,-67.9237,-16.5746
39,-1581250990_0,line,BO,132192.48118182595,230000,3.0,50.0,46,81,False,False,False,"LINESTRING (-64.727 -21.4858, -64.727985 -21.486837, -63.561404 -21.693206, -63.5614 -21.6932)","MULTIPOINT ((-64.727 -21.4858), (-63.5614 -21.6932))",POINT (-64.727 -21.4858),POINT (-63.5614 -21.6932),-64.727,-21.4858,-63.5614,-21.6932
40,94044364_0,line,BO,132192.48118182595,230000,3.0,50.0,46,81,False,False,False,"LINESTRING (-64.727 -21.4858, -64.727985 -21.486837, -63.561404 -21.693206, -63.5614 -21.6932)","MULTIPOINT ((-64.727 -21.4858), (-63.5614 -21.6932))",POINT (-64.727 -21.4858),POINT (-63.5614 -21.6932),-64.727,-21.4858,-63.5614,-21.6932
41,346179098_0,line,BO,143122.9100796893,230000,3.0,50.0,47,38,False,False,False,"LINESTRING (-62.6414 -17.0607, -62.64138 -17.060676, -63.18877 -15.945274, -63.1888 -15.9453)","MULTIPOINT ((-62.6414 -17.0607), (-63.1888 -15.9453))",POINT (-62.6414 -17.0607),POINT (-63.1888 -15.9453),-62.6414,-17.0607,-63.1888,-15.9453
42,1118471612_0,line,BO,143122.9100796893,230000,3.0,50.0,47,38,False,False,False,"LINESTRING (-62.6414 -17.0607, -62.64138 -17.060676, -63.18877 -15.945274, -63.1888 -15.9453)","MULTIPOINT ((-62.6414 -17.0607), (-63.1888 -15.9453))",POINT (-62.6414 -17.0607),POINT (-63.1888 -15.9453),-62.6414,-17.0607,-63.1888,-15.9453
43,-267795115_0,line,BO,4139.136158223807,230000,3.0,50.0,48,82,False,False,False,"LINESTRING (-66.8032 -20.5642, -66.803164 -20.564192, -66.766688 -20.570946, -66.7667 -20.5709)","MULTIPOINT ((-66.8032 -20.5642), (-66.7667 -20.5709))",POINT (-66.8032 -20.5642),POINT (-66.7667 -20.5709),-66.8032,-20.5642,-66.7667,-20.5709
44,-964455789_0,line,BO,57248.799811550765,230000,3.0,50.0,49,80,False,False,False,"LINESTRING (-63.63 -17.4267, -63.629968 -17.426749, -63.236644 -17.742589, -63.2366 -17.7426)","MULTIPOINT ((-63.63 -17.4267), (-63.2366 -17.7426))",POINT (-63.63 -17.4267),POINT (-63.2366 -17.7426),-63.63,-17.4267,-63.2366,-17.7426
45,-1852926576_0,line,BO,102869.92876266819,230000,3.0,50.0,31,49,False,False,False,"LINESTRING (-64.5263 -17.2119, -64.526253 -17.211946, -63.629968 -17.426749, -63.63 -17.4267)","MULTIPOINT ((-64.5263 -17.2119), (-63.63 -17.4267))",POINT (-64.5263 -17.2119),POINT (-63.63 -17.4267),-64.5263,-17.2119,-63.63,-17.4267
46,1309316397_0,line,BO,201174.71214372068,230000,3.0,50.0,4,16,False,False,False,"LINESTRING (-66.2204 -17.5733, -66.220564 -17.573273, -65.218687 -19.001312, -65.2167 -18.9993)","MULTIPOINT ((-66.2204 -17.5733), (-65.2167 -18.9993))",POINT (-66.2204 -17.5733),POINT (-65.2167 -18.9993),-66.2204,-17.5733,-65.2167,-18.9993
47,-925448157_0,line,BO,160999.60039490063,230000,3.0,50.0,16,13,False,False,False,"LINESTRING (-65.2167 -18.9993, -65.218687 -19.001312, -66.14098 -20.051275, -66.14 -20.0503)","MULTIPOINT ((-65.2167 -18.9993), (-66.14 -20.0503))",POINT (-65.2167 -18.9993),POINT (-66.14 -20.0503),-65.2167,-18.9993,-66.14,-20.0503
48,1302371731_0,line,BO,95605.4157097468,230000,3.0,50.0,13,48,False,False,False,"LINESTRING (-66.14 -20.0503, -66.14098 -20.051275, -66.803164 -20.564192, -66.8032 -20.5642)","MULTIPOINT ((-66.14 -20.0503), (-66.8032 -20.5642))",POINT (-66.14 -20.0503),POINT (-66.8032 -20.5642),-66.14,-20.0503,-66.8032,-20.5642
49,1351757781_0,line,BO,78397.22638722128,230000,3.0,50.0,48,24,False,False,False,"LINESTRING (-66.8032 -20.5642, -66.803164 -20.564192, -67.156044 -21.133749, -67.155 -21.1327)","MULTIPOINT ((-66.8032 -20.5642), (-67.155 -21.1327))",POINT (-66.8032 -20.5642),POINT (-67.155 -21.1327),-66.8032,-20.5642,-67.155,-21.1327
50,-1786957592_0,line,BO,5537.532804099709,115000,3.0,50.0,50,10,False,False,False,"LINESTRING (-66.1146 -17.3805, -66.114585 -17.380501, -66.116327 -17.427939, -66.1168 -17.4282)","MULTIPOINT ((-66.1146 -17.3805), (-66.1168 -17.4282))",POINT (-66.1146 -17.3805),POINT (-66.1168 -17.4282),-66.1146,-17.3805,-66.1168,-17.4282
