,bus_id,station_id,voltage,dc,symbol,under_construction,tag_substation,tag_area,lon,lat,country,geometry,substation_lv
72,72,54,69000,False,substation,False,transmission,0.0,-66.2242,-20.9441,BO,POINT (-66.2242 -20.9441),True
73,73,55,69000,False,substation,False,transmission,0.0,-66.174,-21.1622,BO,POINT (-66.174 -21.1622),True
74,74,56,69000,False,substation,False,transmission,0.0,-65.7263,-21.4376,BO,POINT (-65.7263 -21.4376),True
75,75,57,115000,False,substation,False,transmission,0.0,-64.6109,-21.7177,BO,POINT (-64.6109 -21.7177),True
76,76,58,115000,False,substation,False,transmission,0.0,-64.3059,-19.3209,BO,POINT (-64.3059 -19.3209),True
77,77,59,115000,False,substation,False,transmission,0.0,-63.9417,-19.791,BO,POINT (-63.9417 -19.791),True
78,78,60,230000,False,substation,False,transmission,0.0,-63.1527,-17.7868,BO,POINT (-63.1527 -17.7868),True
79,79,61,230000,False,substation,False,transmission,0.0,-63.1452,-18.3834,BO,POINT (-63.1452 -18.3834),True
80,80,62,230000,False,substation,False,transmission,0.0,-63.2366,-17.7426,BO,POINT (-63.2366 -17.7426),True
81,81,63,230000,False,substation,False,transmission,0.0,-63.5614,-21.6932,BO,POINT (-63.5614 -21.6932),True
82,82,64,230000,False,substation,False,transmission,0.0,-66.7667,-20.5709,BO,POINT (-66.7667 -20.5709),True
83,83,65,115000,False,substation,False,transmission,0.0,-67.2762,-17.3964,BO,POINT (-67.2762 -17.3964),True
84,84,66,115000,False,substation,False,transmission,0.0,-66.3898,-18.0683,BO,POINT (-66.3898 -18.0683),True
85,85,67,115000,False,substation,False,transmission,0.0,-65.2858,-17.6279,BO,POINT (-65.2858 -17.6279),True
86,86,68,115000,False,substation,False,transmission,0.0,-67.4372,-17.4623,BO,POINT (-67.4372 -17.4623),True
87,87,69,115000,False,substation,False,transmission,0.0,-64.8929,-14.8535,BO,POINT (-64.8929 -14.8535),True
88,88,70,115000,False,substation,False,transmission,0.0,-67.2739,-20.7301,BO,POINT (-67.2739 -20.7301),True
